dimension,entity,n_seeds_correct,n_seeds_wrong,mean_conf_correct,mean_conf_wrong
T,bird,2,3,0.819038,0.822548
T,shell,5,0,0.891696,0
T,claw,5,0,0.850119,0
T,cave,5,0,0.948621,0
T,honey,4,1,0.86243,0.661922
H,bird,0,5,0,0.887859
H,shell,0,5,0,0.803947
H,claw,1,4,0.710936,0.837117
H,cave,1,4,0.640896,0.826189
H,honey,0,5,0,0.809021
M,bird,0,5,0,0.760325
M,shell,0,5,0,0.863489
M,claw,1,4,0.767217,0.847317
M,cave,0,5,0,0.953691
M,honey,1,4,0.860231,0.846754
V,bird,0,5,0,0.84946
V,shell,0,5,0,0.881859
V,claw,0,5,0,0.899272
V,cave,0,5,0,0.938733
V,honey,0,5,0,0.8396
Z,bird,0,5,0,0.886853
Z,shell,0,5,0,0.882915
Z,claw,2,3,0.962128,0.852014
Z,cave,0,5,0,0.88116
Z,honey,2,3,0.917866,0.792036
A,bird,1,4,0.677819,0.845511
A,shell,2,3,0.918126,0.930544
A,claw,2,3,0.959814,0.938168
A,cave,0,5,0,0.886729
A,honey,0,5,0,0.853106
W,bird,0,5,0,0.900741
W,shell,0,5,0,0.747259
W,claw,2,3,0.882821,0.880793
W,cave,0,5,0,0.888612
W,honey,1,4,0.692614,0.857799
R,bird,0,5,0,0.896028
R,shell,0,5,0,0.827004
R,claw,0,5,0,0.910366
R,cave,0,5,0,0.917892
R,honey,0,5,0,0.883368
O,bird,1,4,0.736517,0.920319
O,shell,0,5,0,0.754292
O,claw,0,5,0,0.849666
O,cave,0,5,0,0.802961
O,honey,1,4,0.897239,0.77639
S,bird,1,4,0.708933,0.866646
S,shell,2,3,0.725799,0.913546
S,claw,1,4,0.651567,0.876057
S,cave,0,5,0,0.87215
S,honey,0,5,0,0.869091
F,bird,0,5,0,0.876796
F,shell,3,2,0.781193,0.868697
F,claw,2,3,0.873502,0.858317
F,cave,0,5,0,0.775499
F,honey,0,5,0,0.876794
L,bird,0,5,0,0.709919
L,shell,3,2,0.90564,0.814959
L,claw,4,1,0.864911,0.707435
L,cave,4,1,0.88737,0.785735
L,honey,2,3,0.829243,0.838202
An,bird,2,3,0.752328,0.945872
An,shell,2,3,0.814839,0.940103
An,claw,1,4,0.899712,0.87353
An,cave,1,4,0.77335,0.844658
An,honey,1,4,0.668204,0.765606
